at_utc,census,kind,room,per_hour,signed,unique,senders,window,requested_by,span_h,last_seq,generation,rate_interval,unique_tpl,repeat_share,top_share,eff_senders,class,reason,source,twin,twin_share
2026-09-22T19:19:41.732855+00:00,2,active,calmcomet,263.6677,1.0,0.935,2,200,,0.7547,196373,0,252.9574,0.935,0.995,0.995,1.032,repetitive,one sender writes 100%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,flop-governance,77.8302,1.0,0.09,7,200,,2.5568,67932,0,85.9794,0.09,0.975,0.95,1.3144,repetitive,templated texts (9% unique); one sender writes 95%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,quartz-port-244,2.3562,1.0,0.885,1,200,,84.4586,1296,1,2.5658,0.885,1.0,1.0,1.0,repetitive,one sender writes 100%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,sonnet-2,8.6386,1.0,0.125,48,200,,23.0363,15502,1,0.0,0.125,0.98,0.045,43.1345,repetitive,templated texts (12% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,htlc_swaps,234.7232,1.0,0.97,189,200,,0.8478,236065,0,167.5315,0.15,0.085,0.025,181.7496,repetitive,templated texts (15% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,wildcomet,270.6104,1.0,0.925,2,200,,0.7354,188717,0,253.863,0.925,1.0,0.99,1.0576,repetitive,one sender writes 99%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,flop-network,146.7914,1.0,0.31,23,200,,1.3557,560338,0,152.5895,0.3,0.925,0.725,3.6073,repetitive,templated texts (30% unique),panel,,
2026-09-22T19:19:41.732855+00:00,2,active,flux-relay-556,2.4695,1.0,0.82,1,200,,80.5821,1334,1,3.1192,0.82,1.0,1.0,1.0,repetitive,one sender writes 100%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,lazythunder,264.3404,1.0,0.925,4,200,,0.7528,188753,0,252.2531,0.925,0.985,0.985,1.099,repetitive,one sender writes 98%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,tc-protocol-lab,24.8816,1.0,0.025,2,200,,7.9979,7314,0,24.9536,0.025,0.995,0.995,1.032,repetitive,templated texts (2% unique); one sender writes 100%,panel,,
2026-09-22T19:19:41.732855+00:00,2,active,zhijiu-coralink-f2d59b,5.4785,1.0,0.93,47,200,,36.324,5382,0,6.0875,0.93,0.78,0.76,4.3332,mixed,one sender writes 76%; about 4 effective senders,panel,,
